mpID,wyckoff,number_of_atoms,equivalent_wyckoff_labels_number,synthesisability
icsd-129166,A2BC2DE5F_aP24_2_2i_i_2i_i_5i_i:C-F-H-Na-O-Sn,24,12,1
icsd-146892,AB2_mC54_12_agij_3i3j:Nb-Te,54,10,1
icsd-126769,AB4C_hP18_154_a_2c_b:B-F-Li,18,4,1
icsd-44342,A2B9C2_oP52_33_2a_9a_2a:Bi-O-W,52,13,1
icsd-138327,A3B2C3_tP8_123_ag_g_bg:Ni-Sm-Sn,8,5,1
icsd_124018,A2B7C2_mC44_15_f_e3f_f:Cu-O-V,44,6,1
icsd-76726,AB4C7D2_mC28_5_a_2c_b3c_c:Ba-Na-S-Sn,28,8,1
icsd_60220,A8BCD_aP22_2_8i_i_i_i:F-O-W-Xe,22,11,1
icsd_136863,A16B3C_mP80_14_16e_3e_e:O-Re-Tm,80,20,1
icsd_128484,ABC6D2E2_tP48_136_d_c_efk_fg_j:Er-F-O-Rb-Si,48,8,1
icsd-83320,ABCD2E_hR108_148_f_f_f_2f_f:H-K-N-O-P,108,6,1
icsd-148863,AB15C3_mP152_14_2e_30e_6e:Mg-O-U,152,38,1
icsd_125062,A2B7C18D2_aP29_2_i_a3i_9i_i:C-Co-O-S,29,15,1
icsd_128200,A3B2_tP10_113_ae_e:Cu-Se,10,3,1
icsd_125432,AB2C2_tI40_141_c_h_h:Ce-O-Si,40,3,1
icsd-147041,A4BC3DE6_mP60_14_4e_e_3e_e_6e:B-Co-F-K-O,60,15,1
icsd_115987,A3B11C5_hP57_174_jl_2jk4l_bdghjl:Ge-O-Pb,57,15,1
icsd_124223,A4B3C_hR24_155_ad_d_b:C-N-Tl,24,4,1
icsd-147411,A31B6C2_oC156_63_3c4f2g4h_2cfg_f:Al-Mn-Pt,156,18,1
icsd-138059,A7B24C12_hR258_167_b3c_4f_2ef:Ir-O-Rb,258,11,1
icsd-147554,ABCD3_oC24_63_c_a_c_cf:Cu-Er-Eu-Se,24,5,1
icsd-175425,AB8C2D_tI24_82_a_2g_bc_d:Ca-F-Li-Zr,24,6,1
icsd-176659,AB2C8D_mP96_14_2e_4e_16e_2e:Na-Nb-O-P,96,24,1
icsd_128715,A4B_hP15_144_4a_a:Ge-Ir,15,5,1
icsd_128345,AB4C_hP108_176_hi_2h5i_hi:Al-O-P,108,11,1
icsd-144682,A3B2C_oC24_63_ag_f_c:Ga-Mg-Ni,24,4,1
icsd-144952,A2BC4D_oP16_31_b_a_2ab_a:Cu-Mn-S-Si,16,6,1
icsd-46328,ABC4D_oP28_62_c_a_2cd_c:Ca-Mg-O-Si,28,6,1
icsd-176989,A4BCD8E2_mC64_15_2f_e_c_4f_f:H-Hg-Mg-O-Se,64,9,1
icsd-45857,ABC2_hR12_166_a_b_c:K-Nd-Se,12,3,1
icsd_127663,A2B_tP6_136_f_a:O-Ti,6,2,1
icsd-149663,A3B4_cF56_227_ad_e:Co-O,56,3,1
icsd-146596,A2BC6D_cF40_225_c_a_e_b:Ba-Gd-O-Sb,40,4,1
icsd-149726,AB2C_tP4_123_a_h_b:Cs-Se-Yb,4,3,1
icsd_126834,ABC3_hR30_161_a_a_b:Bi-Fe-O,30,3,1
icsd_124809,AB4_mP20_14_e_4e:Br-F,20,5,1
icsd-146083,A2B2C2D7E2_mP60_14_2e_2e_2e_7e_2e:F-Mg-Na-O-P,60,15,1
icsd-139074,ABC_hP6_194_c_d_a:F-La-Se,6,3,1
icsd-48623,ABC3D_oC24_63_c_c_cf_a:Cs-Cu-S-Th,24,5,1
icsd-144817,A18B5C3D_tI108_108_3c3d_bd_ac_a:F-K-Nb-O,108,11,1
icsd-45912,ABC2D4E_mP72_14_2e_2e_4e_8e_2e:F-Mn-Na-O-P,72,18,1
icsd-147692,AB_tP4_129_a_c:O-Sn,4,2,1
icsd-145355,A2B7C2_mC44_15_f_e3f_f:Cu-O-V,44,6,1
icsd-137590,A4B_tI10_139_de_a:Al-Eu,10,3,1
icsd-148208,AB_cF8_225_a_b:Ca-O,8,2,1
icsd-126544,A4B3C12D_cI40_204_c_b_g_a:Co-Cu-O-Sm,40,4,1
icsd_125424,A2B8C3DE_mP60_14_2e_8e_3e_e_e:C-H-I-N-Pb,60,15,1
icsd_127419,A2B_hP9_152_c_a:O-Si,9,2,1
icsd-64189,AB_cF8_225_a_b:Mn-N,8,2,1
icsd_125074,A5B6C20D4_mP70_13_e2g_3g_10g_2g:Fe-H-O-P,70,18,1
icsd-175825,A3B7_hP20_186_c_b2c:N-Re,20,4,1
icsd-144694,AB2C4D_mP32_14_e_2e_4e_e:Mn-Rb-Se-Sn,32,8,1
icsd-126952,A4B_mC60_15_ce5f_ef:F-U,60,9,1
icsd_116201,A4B2C7_hP39_152_2c_c_a3c:Ag-P-S,39,7,1
icsd-126401,AB6C2D_cF40_225_a_e_c_b:Bi-Cl-Cs-Na,40,4,1
icsd-149225,A4BC8D_aP168_2_24i_6i_48i_6i:B-Ba-O-Zn,168,84,1
icsd-49862,ABC3_hR30_161_a_a_b:Bi-Fe-O,30,3,1
icsd-149675,A3B4_cF56_227_ad_e:Co-O,56,3,1
icsd-138366,ABC3_oP20_26_ab_c_ab2c:Ce-Mo-N,20,7,1
icsd-49474,AB2CD5_oP18_51_a_2f_c_2efj:Ba-Co-Eu-O,18,8,1
